,title,price,link
0,"HP Pavilion x360, 13th Gen Intel Core i5-1335U Laptop (16GB DDR4, 512GB SSD) Touchscreen, 14""/35.6cm, FHD, Win 11, Office 21, Silver, 1.51kg, Iris Xe, FPR, 5MP Camera, Backlit KB, Pen, ek1074TU","68,990",https://amazon.in//HP-Pavilion-i5-1335U-Laptop-Touchscreen/dp/B0CJ2KWNNQ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.KtVjMohCkSJk8z8d5EDRzORBT_cgj423ZGet7MU8gQeXLCSeV6IhyvjR9j6C9c7MRGWOZAleYHZgRreyHKy2i7-nsJC36RTWMjDqcqr8VTcb_0O2BXGt_ydYBHkHe64ojKOijoK8ZhSzSlt2FqSv3eODLvJRojpWjvxAxPe8kl2OhGOZqeLrc80NMtZ1ZLqBbM5byuwtTd9q1u74GEM_J3zyZ4XAr-M4mO6pNHh2MfM.CXTxdF2PwNS3DjiB_y7ZPdoRLMEMKtCzIge4LBmCtxo&dib_tag=se&keywords=laptop&qid=1749306835&sr=8-1
1,"
ASUS TUF Gaming A15, AMD Ryzen 7 7435HS Gaming
                    Laptop(NVIDIA RTX 3050-4GB/60W TGP/16GB RAM/512GB
                    SSD/FHD/15.6""/144Hz/RGB KB/48WHr/Windows 11//Graphite
                    Black/2.30 Kg) FA506NCR-HN054W
","64,990",https://amazon.in//ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_2?dib=eyJ2IjoiMSJ9.KtVjMohCkSJk8z8d5EDRzORBT_cgj423ZGet7MU8gQeXLCSeV6IhyvjR9j6C9c7MRGWOZAleYHZgRreyHKy2i7-nsJC36RTWMjDqcqr8VTcb_0O2BXGt_ydYBHkHe64ojKOijoK8ZhSzSlt2FqSv3eODLvJRojpWjvxAxPe8kl2OhGOZqeLrc80NMtZ1ZLqBbM5byuwtTd9q1u74GEM_J3zyZ4XAr-M4mO6pNHh2MfM.CXTxdF2PwNS3DjiB_y7ZPdoRLMEMKtCzIge4LBmCtxo&dib_tag=se&keywords=laptop&qid=1749306835&sr=8-2
2,"Acer [SmartChoice Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","32,990",https://amazon.in//5-5625U-Premium-Windows-AL15-41-Display/dp/B0DG2GCTD7/ref=sr_1_6?dib=eyJ2IjoiMSJ9.KtVjMohCkSJk8z8d5EDRzORBT_cgj423ZGet7MU8gQeXLCSeV6IhyvjR9j6C9c7MRGWOZAleYHZgRreyHKy2i7-nsJC36RTWMjDqcqr8VTcb_0O2BXGt_ydYBHkHe64ojKOijoK8ZhSzSlt2FqSv3eODLvJRojpWjvxAxPe8kl2OhGOZqeLrc80NMtZ1ZLqBbM5byuwtTd9q1u74GEM_J3zyZ4XAr-M4mO6pNHh2MfM.CXTxdF2PwNS3DjiB_y7ZPdoRLMEMKtCzIge4LBmCtxo&dib_tag=se&keywords=laptop&qid=1749306835&sr=8-6
3,"Lenovo V14 G3, 12th Gen Intel Core i7-1255U Upto 4.70Ghz (16GB RAM/512GB SSD/Windows 11) 14.0"" FHD Display Thin and Light Laptop/Iron Grey /1.70 kg 1 Year Onsite Brand Warranty","45,999",https://amazon.in//Lenovo-i7-1255U-4-70Ghz-Windows-Warranty/dp/B0F32ZBDNJ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.KtVjMohCkSJk8z8d5EDRzORBT_cgj423ZGet7MU8gQeXLCSeV6IhyvjR9j6C9c7MRGWOZAleYHZgRreyHKy2i7-nsJC36RTWMjDqcqr8VTcb_0O2BXGt_ydYBHkHe64ojKOijoK8ZhSzSlt2FqSv3eODLvJRojpWjvxAxPe8kl2OhGOZqeLrc80NMtZ1ZLqBbM5byuwtTd9q1u74GEM_J3zyZ4XAr-M4mO6pNHh2MfM.CXTxdF2PwNS3DjiB_y7ZPdoRLMEMKtCzIge4LBmCtxo&dib_tag=se&keywords=laptop&qid=1749306835&sr=8-7
4,"HP 255 Notebook, AMD Athlon Silver 7120U,8GB DDR4, 256GB SSD, 15.6-inch(39.6cm),Anti-Glare, HD Laptop, Radeon Graphics, (Win 11, Silver,1.52kg) G10","23,750",https://amazon.in//HP-255-Notebook-AMD-256GB/dp/B0DV984J97/ref=sr_1_8?dib=eyJ2IjoiMSJ9.KtVjMohCkSJk8z8d5EDRzORBT_cgj423ZGet7MU8gQeXLCSeV6IhyvjR9j6C9c7MRGWOZAleYHZgRreyHKy2i7-nsJC36RTWMjDqcqr8VTcb_0O2BXGt_ydYBHkHe64ojKOijoK8ZhSzSlt2FqSv3eODLvJRojpWjvxAxPe8kl2OhGOZqeLrc80NMtZ1ZLqBbM5byuwtTd9q1u74GEM_J3zyZ4XAr-M4mO6pNHh2MfM.CXTxdF2PwNS3DjiB_y7ZPdoRLMEMKtCzIge4LBmCtxo&dib_tag=se&keywords=laptop&qid=1749306835&sr=8-8
5,"HP 15 (2025), Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Intel UHD Graphics/DOS) Thin and Light Business Laptop/15.6"" HD Display/Ash Grey/1.5 kg","31,500",https://amazon.in//HP-15-Intel-Core-1315U/dp/B0F8WC83WT/ref=sr_1_9?dib=eyJ2IjoiMSJ9.KtVjMohCkSJk8z8d5EDRzORBT_cgj423ZGet7MU8gQeXLCSeV6IhyvjR9j6C9c7MRGWOZAleYHZgRreyHKy2i7-nsJC36RTWMjDqcqr8VTcb_0O2BXGt_ydYBHkHe64ojKOijoK8ZhSzSlt2FqSv3eODLvJRojpWjvxAxPe8kl2OhGOZqeLrc80NMtZ1ZLqBbM5byuwtTd9q1u74GEM_J3zyZ4XAr-M4mO6pNHh2MfM.CXTxdF2PwNS3DjiB_y7ZPdoRLMEMKtCzIge4LBmCtxo&dib_tag=se&keywords=laptop&qid=1749306835&sr=8-9
6,"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey","58,990",https://amazon.in//Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_10?dib=eyJ2IjoiMSJ9.KtVjMohCkSJk8z8d5EDRzORBT_cgj423ZGet7MU8gQeXLCSeV6IhyvjR9j6C9c7MRGWOZAleYHZgRreyHKy2i7-nsJC36RTWMjDqcqr8VTcb_0O2BXGt_ydYBHkHe64ojKOijoK8ZhSzSlt2FqSv3eODLvJRojpWjvxAxPe8kl2OhGOZqeLrc80NMtZ1ZLqBbM5byuwtTd9q1u74GEM_J3zyZ4XAr-M4mO6pNHh2MfM.CXTxdF2PwNS3DjiB_y7ZPdoRLMEMKtCzIge4LBmCtxo&dib_tag=se&keywords=laptop&qid=1749306835&sr=8-10
7,"HP 15, AMD Ryzen 3 7320U Laptop (8GB LPDDR5, 512GB SSD) Anti-Glare, Micro-Edge, 15.6""/39.6cm,FHD, Win 11, Silver, 1.59kg, AMD Radeon Graphics, 1080p HD Camera, fc0154AU","29,760",https://amazon.in//HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=sr_1_11?dib=eyJ2IjoiMSJ9.KtVjMohCkSJk8z8d5EDRzORBT_cgj423ZGet7MU8gQeXLCSeV6IhyvjR9j6C9c7MRGWOZAleYHZgRreyHKy2i7-nsJC36RTWMjDqcqr8VTcb_0O2BXGt_ydYBHkHe64ojKOijoK8ZhSzSlt2FqSv3eODLvJRojpWjvxAxPe8kl2OhGOZqeLrc80NMtZ1ZLqBbM5byuwtTd9q1u74GEM_J3zyZ4XAr-M4mO6pNHh2MfM.CXTxdF2PwNS3DjiB_y7ZPdoRLMEMKtCzIge4LBmCtxo&dib_tag=se&keywords=laptop&qid=1749306835&sr=8-11
8,"HP 15s, 12th Gen Intel Core i3-1215U Laptop (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm,FHD, Win 11, MS Office 21, Silver, 1.69kg, Intel UHD Graphics, HD Camera, Dual Speakers, fy5006tu","33,990",https://amazon.in//HP-i3-1215U-Anti-Glare-15-6inch-Graphics/dp/B0CJBL2QWY/ref=sr_1_12?dib=eyJ2IjoiMSJ9.KtVjMohCkSJk8z8d5EDRzORBT_cgj423ZGet7MU8gQeXLCSeV6IhyvjR9j6C9c7MRGWOZAleYHZgRreyHKy2i7-nsJC36RTWMjDqcqr8VTcb_0O2BXGt_ydYBHkHe64ojKOijoK8ZhSzSlt2FqSv3eODLvJRojpWjvxAxPe8kl2OhGOZqeLrc80NMtZ1ZLqBbM5byuwtTd9q1u74GEM_J3zyZ4XAr-M4mO6pNHh2MfM.CXTxdF2PwNS3DjiB_y7ZPdoRLMEMKtCzIge4LBmCtxo&dib_tag=se&keywords=laptop&qid=1749306835&sr=8-12
9,"Acer Aspire 3, Intel Core Celeron N4500, 8GB LPDDR4X, 512GB SSD, HD, 14""/35.56cm, Windows 11 Home, Pure Silver, 1.3KG, A324-45, HD Webcam, 38 WHR Laptop","21,990",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A324-45/dp/B0D7PSTHRD/ref=sr_1_13?dib=eyJ2IjoiMSJ9.KtVjMohCkSJk8z8d5EDRzORBT_cgj423ZGet7MU8gQeXLCSeV6IhyvjR9j6C9c7MRGWOZAleYHZgRreyHKy2i7-nsJC36RTWMjDqcqr8VTcb_0O2BXGt_ydYBHkHe64ojKOijoK8ZhSzSlt2FqSv3eODLvJRojpWjvxAxPe8kl2OhGOZqeLrc80NMtZ1ZLqBbM5byuwtTd9q1u74GEM_J3zyZ4XAr-M4mO6pNHh2MfM.CXTxdF2PwNS3DjiB_y7ZPdoRLMEMKtCzIge4LBmCtxo&dib_tag=se&keywords=laptop&qid=1749306835&sr=8-13
